ip,endpoint,status,user_agent
192.168.1.22,/home,200,Mozilla/5.0
192.168.1.10,/home,200,Mozilla/5.0
192.168.1.28,/home,200,Mozilla/5.0
192.168.1.24,/home,200,Mozilla/5.0
192.168.1.25,/home,200,Mozilla/5.0
192.168.1.17,/home,200,Mozilla/5.0
192.168.1.26,/home,200,Mozilla/5.0
192.168.1.17,/home,200,Mozilla/5.0
192.168.1.20,/home,200,Mozilla/5.0
192.168.1.12,/home,200,Mozilla/5.0
192.168.1.19,/home,200,Mozilla/5.0
192.168.1.26,/home,200,Mozilla/5.0
192.168.1.10,/home,200,Mozilla/5.0
192.168.1.29,/home,200,Mozilla/5.0
192.168.1.13,/home,200,Mozilla/5.0
192.168.1.15,/home,200,Mozilla/5.0
192.168.1.16,/home,200,Mozilla/5.0
192.168.1.13,/home,200,Mozilla/5.0
192.168.1.28,/home,200,Mozilla/5.0
192.168.1.17,/home,200,Mozilla/5.0
192.168.1.17,/home,200,Mozilla/5.0
192.168.1.27,/home,200,Mozilla/5.0
192.168.1.28,/home,200,Mozilla/5.0
192.168.1.29,/home,200,Mozilla/5.0
192.168.1.23,/home,200,Mozilla/5.0
192.168.1.21,/home,200,Mozilla/5.0
192.168.1.28,/home,200,Mozilla/5.0
192.168.1.15,/home,200,Mozilla/5.0
192.168.1.17,/home,200,Mozilla/5.0
192.168.1.25,/home,200,Mozilla/5.0
192.168.1.27,/home,200,Mozilla/5.0
192.168.1.27,/home,200,Mozilla/5.0
192.168.1.27,/home,200,Mozilla/5.0
192.168.1.10,/home,200,Mozilla/5.0
192.168.1.25,/home,200,Mozilla/5.0
192.168.1.19,/home,200,Mozilla/5.0
192.168.1.18,/home,200,Mozilla/5.0
192.168.1.13,/home,200,Mozilla/5.0
192.168.1.17,/home,200,Mozilla/5.0
192.168.1.25,/home,200,Mozilla/5.0
192.168.1.22,/home,200,Mozilla/5.0
192.168.1.20,/home,200,Mozilla/5.0
192.168.1.22,/home,200,Mozilla/5.0
192.168.1.22,/home,200,Mozilla/5.0
192.168.1.29,/home,200,Mozilla/5.0
192.168.1.10,/home,200,Mozilla/5.0
192.168.1.29,/home,200,Mozilla/5.0
192.168.1.26,/home,200,Mozilla/5.0
192.168.1.29,/home,200,Mozilla/5.0
192.168.1.27,/home,200,Mozilla/5.0
192.168.1.10,/home,200,Mozilla/5.0
192.168.1.28,/home,200,Mozilla/5.0
192.168.1.21,/home,200,Mozilla/5.0
192.168.1.22,/home,200,Mozilla/5.0
192.168.1.13,/home,200,Mozilla/5.0
192.168.1.17,/home,200,Mozilla/5.0
192.168.1.11,/home,200,Mozilla/5.0
192.168.1.29,/home,200,Mozilla/5.0
192.168.1.21,/home,200,Mozilla/5.0
192.168.1.13,/home,200,Mozilla/5.0
192.168.1.29,/home,200,Mozilla/5.0
192.168.1.13,/home,200,Mozilla/5.0
192.168.1.22,/home,200,Mozilla/5.0
192.168.1.26,/home,200,Mozilla/5.0
192.168.1.29,/home,200,Mozilla/5.0
192.168.1.19,/home,200,Mozilla/5.0
192.168.1.12,/home,200,Mozilla/5.0
192.168.1.18,/home,200,Mozilla/5.0
192.168.1.14,/home,200,Mozilla/5.0
192.168.1.11,/home,200,Mozilla/5.0
192.168.1.28,/home,200,Mozilla/5.0
192.168.1.10,/home,200,Mozilla/5.0
192.168.1.18,/home,200,Mozilla/5.0
192.168.1.15,/home,200,Mozilla/5.0
192.168.1.22,/home,200,Mozilla/5.0
192.168.1.14,/home,200,Mozilla/5.0
192.168.1.22,/home,200,Mozilla/5.0
192.168.1.22,/home,200,Mozilla/5.0
192.168.1.11,/home,200,Mozilla/5.0
192.168.1.15,/home,200,Mozilla/5.0
192.168.1.18,/home,200,Mozilla/5.0
192.168.1.17,/home,200,Mozilla/5.0
192.168.1.16,/home,200,Mozilla/5.0
192.168.1.10,/home,200,Mozilla/5.0
